Name,Product Type,Can be Expensed,Purchase Price
Delivery Kits,Service,Yes,0
Antenatal Screening Services,Service,Yes,0
Training Services,Service,Yes,0
Safeguarding Framework,Service,Yes,0
Logistics Services,Service,Yes,0
Community Engagement Sessions,Service,Yes,0
Data Protection Tools,Service,Yes,0
Mobile Clinic Equipment,Service,Yes,0
Monitoring Services,Service,Yes,0
Field Mobilizer Stipends,Service,Yes,0
Solar Power Units,Service,Yes,0
Transport Services,Service,Yes,0
Legal Advisory Services,Service,Yes,0
Staff Health Insurance,Service,Yes,0
Admin Support Services,Service,Yes,0
